method,h,error,c
MQ_poly,0.0125,1.52E-05,2.1
InvMQ_poly,0.0125,1.52E-05,2.1
Gauss_poly,0.0125,1.52E-05,2.1
MQ_poly,0.00625,3.81E-06,2.1
InvMQ_poly,0.00625,3.81E-06,2.1
Gauss_poly,0.00625,3.81E-06,2.1
MQ_poly,0.2,0.003963064,2.2
InvMQ_poly,0.2,0.004250282,2.2
Gauss_poly,0.2,0.004089895,2.2
MQ_poly,0.1,0.000979419,2.2
InvMQ_poly,0.1,0.000999626,2.2
Gauss_poly,0.1,0.000987424,2.2
MQ_poly,0.05,0.000244091,2.2
InvMQ_poly,0.05,0.000245394,2.2
Gauss_poly,0.05,0.000244593,2.2
MQ_poly,0.025,6.10E-05,2.2
InvMQ_poly,0.025,6.11E-05,2.2
Gauss_poly,0.025,6.10E-05,2.2
MQ_poly,0.0125,1.52E-05,2.2
InvMQ_poly,0.0125,1.52E-05,2.2
Gauss_poly,0.0125,1.52E-05,2.2
MQ_poly,0.00625,3.81E-06,2.2
InvMQ_poly,0.00625,3.81E-06,2.2
Gauss_poly,0.00625,3.81E-06,2.2
MQ_poly,0.2,0.003966493,2.3
InvMQ_poly,0.2,0.004277476,2.3
Gauss_poly,0.2,0.004104619,2.3
MQ_poly,0.1,0.000979664,2.3
InvMQ_poly,0.1,0.001001659,2.3
Gauss_poly,0.1,0.000988387,2.3
MQ_poly,0.05,0.000244107,2.3
InvMQ_poly,0.05,0.000245527,2.3
Gauss_poly,0.05,0.000244654,2.3
MQ_poly,0.025,6.10E-05,2.3
InvMQ_poly,0.025,6.11E-05,2.3
Gauss_poly,0.025,6.10E-05,2.3
MQ_poly,0.0125,1.52E-05,2.3
InvMQ_poly,0.0125,1.52E-05,2.3
Gauss_poly,0.0125,1.52E-05,2.3
MQ_poly,0.00625,3.81E-06,2.3
InvMQ_poly,0.00625,3.81E-06,2.3
Gauss_poly,0.00625,3.81E-06,2.3
MQ_poly,0.2,0.003970032,2.4
InvMQ_poly,0.2,0.004305535,2.4
Gauss_poly,0.2,0.00411992,2.4
MQ_poly,0.1,0.000979918,2.4
InvMQ_poly,0.1,0.001003773,2.4
Gauss_poly,0.1,0.000989391,2.4
MQ_poly,0.05,0.000244124,2.4
InvMQ_poly,0.05,0.000245666,2.4
Gauss_poly,0.05,0.000244717,2.4
MQ_poly,0.025,6.10E-05,2.4
InvMQ_poly,0.025,6.11E-05,2.4
Gauss_poly,0.025,6.10E-05,2.4
MQ_poly,0.0125,1.52E-05,2.4
InvMQ_poly,0.0125,1.52E-05,2.4
Gauss_poly,0.0125,1.52E-05,2.4
MQ_poly,0.00625,3.81E-06,2.4
InvMQ_poly,0.00625,3.81E-06,2.4
Gauss_poly,0.00625,3.81E-06,2.4
MQ_poly,0.2,0.00397368,2.5
InvMQ_poly,0.2,0.004334439,2.5
Gauss_poly,0.2,0.004135797,2.5
MQ_poly,0.1,0.000980181,2.5
InvMQ_poly,0.1,0.001005967,2.5
Gauss_poly,0.1,0.000990434,2.5
MQ_poly,0.05,0.000244141,2.5
InvMQ_poly,0.05,0.000245811,2.5
Gauss_poly,0.05,0.000244783,2.5
MQ_poly,0.025,6.10E-05,2.5
InvMQ_poly,0.025,6.11E-05,2.5
Gauss_poly,0.025,6.10E-05,2.5
MQ_poly,0.0125,1.52E-05,2.5
